schoolId,prefectureId,year,prize,last,representative
368,45,2013,銅賞,都道府県,False
518,45,2013,銀賞,都道府県,False
4574,45,2013,銀賞,都道府県,False
135,45,2013,銀賞,都道府県,False
2605,45,2013,銀賞,都道府県,False
848,45,2013,金賞,都道府県,False
3898,45,2013,銀賞,都道府県,False
1878,45,2013,金賞,都道府県,False
232,45,2013,銀賞,都道府県,False
4899,45,2013,金賞,都道府県,False
1813,45,2013,銀賞,都道府県,False
567,45,2013,銀賞,都道府県,False
3975,45,2013,銀賞,都道府県,False
4930,45,2013,銀賞,都道府県,False
4745,45,2013,金賞,都道府県,False
3314,45,2013,銀賞,都道府県,False
696,45,2013,金賞,都道府県,False
860,45,2013,銀賞,都道府県,False
4847,45,2013,銀賞,都道府県,False
4330,45,2013,金賞,都道府県,False
3696,45,2013,銀賞,都道府県,False
3858,45,2013,金賞,都道府県,False
3194,45,2013,銀賞,都道府県,False
802,43,2013,銀賞,都道府県,False
91,43,2013,銀賞,都道府県,False
2209,43,2013,銀賞,都道府県,False
1204,43,2013,金賞,都道府県,False
2679,43,2013,銅賞,都道府県,False
53,43,2013,銀賞,都道府県,False
4489,43,2013,銀賞,都道府県,False
2812,43,2013,金賞,都道府県,False
2167,43,2013,銀賞,都道府県,False
4462,43,2013,銀賞,都道府県,False
2555,43,2013,銀賞,都道府県,False
4733,43,2013,金賞,都道府県,False
4471,43,2013,金賞,都道府県,False
1333,43,2013,金賞,都道府県,False
1610,43,2013,金賞,都道府県,False
617,43,2013,銀賞,都道府県,False
2376,43,2013,金賞,都道府県,False
3960,43,2013,銀賞,都道府県,False
4131,43,2013,銀賞,都道府県,False
1847,43,2013,金賞,都道府県,False
63,43,2013,銅賞,都道府県,False
2686,43,2013,金賞,都道府県,False
4339,43,2013,銀賞,都道府県,False
1469,43,2013,金賞,都道府県,False
2314,43,2013,銀賞,都道府県,False
4531,43,2013,銅賞,都道府県,False
2061,43,2013,銅賞,都道府県,False
4424,43,2013,銀賞,都道府県,False
2926,43,2013,銀賞,都道府県,False
5182,43,2013,金賞,都道府県,False
4854,42,2013,銀賞,都道府県,False
2418,42,2013,銅賞,都道府県,False
2650,42,2013,銀賞,都道府県,False
1161,42,2013,金賞,都道府県,True
2082,42,2013,銅賞,都道府県,False
2307,42,2013,銀賞,都道府県,False
415,42,2013,銅賞,都道府県,False
3939,42,2013,金賞,都道府県,True
3074,42,2013,銀賞,都道府県,False
171,42,2013,金賞,都道府県,False
4044,42,2013,銀賞,都道府県,False
983,42,2013,銅賞,都道府県,False
1125,42,2013,金賞,都道府県,True
4212,42,2013,銀賞,都道府県,False
4321,42,2013,銅賞,都道府県,False
3645,42,2013,金賞,都道府県,True
3671,42,2013,金賞,都道府県,False
1969,42,2013,銅賞,都道府県,False
112,42,2013,金賞,都道府県,False
5180,42,2013,金賞,都道府県,False
1949,42,2013,銅賞,都道府県,False
2259,42,2013,金賞,都道府県,True
322,42,2013,銅賞,都道府県,False
4310,42,2013,銅賞,都道府県,False
4359,42,2013,銅賞,都道府県,False
5016,42,2013,銅賞,都道府県,False
370,42,2013,金賞,都道府県,True
2267,42,2013,銅賞,都道府県,False
4730,42,2013,金賞,都道府県,False
4069,42,2013,銅賞,都道府県,False
570,42,2013,金賞,都道府県,True
460,42,2013,,都道府県,False
668,41,2013,銅賞,都道府県,False
1285,41,2013,銅賞,都道府県,False
2883,41,2013,銅賞,都道府県,False
5210,41,2013,銅賞,都道府県,False
3394,41,2013,銅賞,都道府県,False
1311,41,2013,銀賞,都道府県,False
1129,41,2013,銀賞,都道府県,False
3516,41,2013,銀賞,都道府県,False
514,41,2013,銀賞,都道府県,False
3681,41,2013,銀賞,都道府県,False
11,41,2013,銅賞,都道府県,False
4029,41,2013,銅賞,都道府県,False
3477,41,2013,銅賞,都道府県,False
4723,41,2013,銀賞,都道府県,False
5206,41,2013,銀賞,都道府県,False
1245,41,2013,銀賞,都道府県,False
4741,41,2013,金賞,都道府県,False
3167,41,2013,金賞,都道府県,False
5158,41,2013,銅賞,都道府県,False
3280,41,2013,金賞,都道府県,False
504,41,2013,銅賞,都道府県,False
910,41,2013,銅賞,都道府県,False
3725,41,2013,銅賞,都道府県,False
3927,41,2013,銅賞,都道府県,False
4914,41,2013,銀賞,都道府県,False
2793,41,2013,銀賞,都道府県,False
1446,41,2013,銅賞,都道府県,False
